pdbid,-logKd/Ki,protein_name,set,dataset
3l7d,2.18,GLYCOGEN PHOSPHORYLASE,general,train
6g47,2.18,FIBER-1,general,train
4ahr,2.19,HIV-1 INTEGRASE,refined,train
4ahs,2.19,HIV-1 INTEGRASE,refined,train
4amx,2.19,"ALPHA-1,4-GLUCAN LYASE ISOZYME 1",general,train
4jdf,2.19,PUTRESCINE-BINDING PROTEIN,general,train
4mre,2.19,CD44 ANTIGEN,refined,train
5nzp,2.19,D-3-PHOSPHOGLYCERATE DEHYDROGENASE,general,train
1w1v,2.2,CHITINASE B,general,train
2vvo,2.2,RIBOSE-5-PHOSPHATE ISOMERASE B,general,train
4eh8,2.2,MITOGEN-ACTIVATED PROTEIN KINASE 14,general,train
1x8d,2.21,HYPOTHETICAL PROTEIN YIIL,refined,train
4g0z,2.21,PROTEIN ARGONAUTE 1,refined,train
1icj,2.22,PEPTIDE DEFORMYLASE,general,train
1m0n,2.22,"2,2-DIALKYLGLYCINE DECARBOXYLASE",refined,train
2aac,2.22,ARAC,refined,train
4aci,2.22,HTH-TYPE TRANSCRIPTIONAL REPRESSOR ACNR,refined,train
4uru,2.22,GTPASE HRAS,general,train
4ury,2.22,GTPASE HRAS,refined,train
4x11,2.22,MAJOR CAPSID PROTEIN,general,train
5fsb,2.22,TECTONIN 2,general,train
5hcl,2.22,BROMODOMAIN-CONTAINING PROTEIN 4,general,train
5jqb,2.22,ENVELOPE GLYCOPROTEIN 1,general,train
1ajp,2.23,PENICILLIN AMIDOHYDROLASE,refined,train
2igv,2.23,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE 3,general,train
3ao5,2.23,HIV-1 INTEGRASE,refined,train
3i3b,2.23,BETA-GALACTOSIDASE,refined,train
1rdl,2.24,MANNOSE-BINDING PROTEIN-C,general,train
2ay8,2.24,AROMATIC AMINO ACID AMINOTRANSFERASE,general,train
2os9,2.24,PULMONARY SURFACTANT-ASSOCIATED PROTEIN D,general,train
5f6v,2.24,SUMO-CONJUGATING ENZYME UBC9,general,train
5m9w,2.24,THERMOLYSIN,refined,train
5nzo,2.24,D-3-PHOSPHOGLYCERATE DEHYDROGENASE,general,train
1ukt,2.25,CYCLOMALTODEXTRIN GLUCANOTRANSFERASE,general,train
1ew8,2.26,ALKALINE PHOSPHATASE,refined,train
3ao1,2.26,HIV-1 INTEGRASE,general,train
4eh9,2.26,MITOGEN-ACTIVATED PROTEIN KINASE 14,general,train
4np2,2.26,CD44 ANTIGEN,refined,train
5v6u,2.26,CASPASE-7 (CASP-7),general,train
1hge,2.27,"HEMAGGLUTININ, CHAIN HA1",general,train
1uto,2.27,TRYPSIN BETA,refined,train
4ahu,2.27,HIV-1 INTEGRASE,refined,train
4mfe,2.27,PYRUVATE CARBOXYLASE,general,train
1ps3,2.28,ALPHA-MANNOSIDASE II,refined,train
2rjs,2.28,TYROSINE AMINOMUTASE,general,train
3fu0,2.28,LEUKOTRIENE A-4 HYDROLASE,general,train
3ip8,2.28,ARYLMALONATE DECARBOXYLASE,refined,train
2ay1,2.29,AROMATIC AMINO ACID AMINOTRANSFERASE,general,train
4ddk,2.29,PANTOTHENATE SYNTHETASE,refined,train
4ehv,2.29,MITOGEN-ACTIVATED PROTEIN KINASE 14,general,train
5fnj,2.29,CARBONIC ANHYDRASE 2,general,train
1hyv,2.3,INTEGRASE,general,train
1inh,2.3,INFLUENZA A SUBTYPE N2 NEURAMINIDASE,general,train
1jdj,2.3,GLYCEROL-3-PHOSPHATE DEHYDROGENASE,general,train
1n1g,2.3,GLYCEROL-3-PHOSPHATE DEHYDROGENASE,general,train
1o4g,2.3,TYROSINE-PROTEIN KINASE SRC,general,train
1uxa,2.3,FIBER PROTEIN,general,train
1w1p,2.3,CHITINASE B,general,train
2ay7,2.3,AROMATIC AMINO ACID AMINOTRANSFERASE,general,train
2hdu,2.3,BETA-LACTAMASE,general,train
2xix,2.3,SERINE/THREONINE-PROTEIN KINASE PIM,general,train
2xlc,2.3,ACETYL XYLAN ESTERASE,general,train
3dyo,2.3,BETA-GALACTOSIDASE,refined,train
3kgq,2.3,CARBOXYPEPTIDASE A,refined,train
3mhw,2.3,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,refined,train
3pcg,2.3,"PROTOCATECHUATE 3,4-DIOXYGENASE",refined,train
3rv4,2.3,BIOTIN CARBOXYLASE,refined,train
4b6e,2.3,SERINE PROTEASE NS3,general,train
4e3d,2.3,CARBONIC ANHYDRASE 2,general,train
4g0y,2.3,PROTEIN ARGONAUTE 1,refined,train
4jsz,2.3,CARBONIC ANHYDRASE 2,refined,train
4led,2.3,PYOCIN L1,general,train
4wh7,2.3,M-PHASE INDUCER PHOSPHATASE 2,general,train
5enc,2.3,PH-INTERACTING PROTEIN,general,train
5eni,2.3,PH-INTERACTING PROTEIN,general,train
5enj,2.3,PH-INTERACTING PROTEIN,general,train
5g42,2.3,NUCLEAR RECEPTOR ROR-GAMMA,general,train
6gmq,2.3,ELONGIN-B,general,train
1m0o,2.31,"2,2-DIALKYLGLYCINE DECARBOXYLASE",refined,train
4y0a,2.31,SHIKIMATE KINASE,refined,train
5mz8,2.31,ALDEHYDE DEHYDROGENASE 21,refined,train
2qve,2.32,TYROSINE AMINOMUTASE,general,train
5aol,2.32,CELLULAR TUMOR ANTIGEN P53,refined,train
1z6d,2.34,RIBONUCLEASE,general,train
4iie,2.34,BETA-GLUCOSIDASE 1,refined,train
5elf,2.34,CHOLERA ENTEROTOXIN SUBUNIT B,general,train
1qi0,2.35,ENDOGLUCANASE B,general,train
3gtc,2.35,BETA-LACTAMASE,refined,train
4k3k,2.35,DNA POLYMERASE III SUBUNIT BETA,general,train
4y3y,2.35,ENDOTHIAPEPSIN,refined,train
1o4j,2.36,TYROSINE-PROTEIN KINASE SRC,general,train
3g2z,2.36,BETA-LACTAMASE CTX-M-9A,refined,train
5fsc,2.36,TECTONIN 2,refined,train
3t0d,2.37,BETA-GALACTOSIDASE,refined,train
4jck,2.37,GALECTIN-3,general,train
6rnt,2.37,RIBONUCLEASE T1,refined,train
3f6e,2.38,BENZOYLFORMATE DECARBOXYLASE,refined,train
4aj2,2.38,L-LACTATE DEHYDROGENASE A CHAIN,general,train
1f73,2.39,N-ACETYL-NEURAMINATE LYASE,refined,train
1nwl,2.39,PROTEIN-TYROSINE PHOSPHATASE 1B,refined,train
4nyt,2.39,FICOLIN-2,general,train
4tya,2.39,POLYPROTEIN,general,train
2wi1,2.4,HEAT SHOCK PROTEIN HSP90-ALPHA,general,train
3dxg,2.4,RIBONUCLEASE A,general,train
3l7b,2.4,GLYCOGEN PHOSPHORYLASE,general,train
3pcb,2.4,"PROTOCATECHUATE 3,4-DIOXYGENASE",general,train
3t2t,2.4,GALECTIN-1,general,train
4u5l,2.4,IMPORTIN SUBUNIT ALPHA-1,general,train
4y38,2.4,ENDOTHIAPEPSIN,general,train
4zsm,2.4,BETA-SECRETASE 1,general,train
1o4r,2.41,TYROSINE-PROTEIN KINASE SRC,general,train
2wsx,2.41,L-CARNITINE/GAMMA-BUTYROBETAINE ANTIPORTER,general,train
4u5s,2.41,IMPORTIN SUBUNIT ALPHA-1,refined,train
4u5o,2.42,IMPORTIN SUBUNIT ALPHA-1,refined,train
5os3,2.43,AURORA KINASE A,general,train
1o4h,2.44,TYROSINE-PROTEIN KINASE SRC,general,train
1oba,2.44,LYSOZYME,refined,train
1t4s,2.44,ARGINASE 1,general,train
2i2b,2.44,INORGANIC POLYPHOSPHATE/ATP-NAD KINASE,general,train
2xiy,2.44,SERINE/THREONINE PROTEIN KINASE PIM,general,train
3ked,2.44,AMINOPEPTIDASE N,general,train
3l7c,2.44,GLYCOGEN PHOSPHORYLASE,general,train
3mjl,2.44,ARGINASE-1,refined,train
4d62,2.44,FIBER KNOB DOMAIN,general,train
1gbq,2.46,GRB2,general,train
1o4o,2.46,TYROSINE-PROTEIN KINASE SRC,general,train
2aez,2.46,FRUCTAN 1-EXOHYDROLASE IIA,general,train
3l79,2.46,GLYCOGEN PHOSPHORYLASE,general,train
4ah9,2.46,INTEGRASE,general,train
4ddm,2.46,PANTOTHENATE SYNTHETASE,refined,train
4eh6,2.46,MITOGEN-ACTIVATED PROTEIN KINASE 14,general,train
4x8u,2.46,COAGULATION FACTOR VIIA,refined,train
5aqh,2.46,HEAT SHOCK COGNATE 71 KDA PROTEIN,general,train
1tok,2.47,ASPARTATE AMINOTRANSFERASE,general,train
1utl,2.47,TRYPSIN I,refined,train
3rik,2.47,GLUCOSYLCERAMIDASE,general,train
4gne,2.47,HISTONE-LYSINE N-METHYLTRANSFERASE NSD3,general,train
4y4j,2.47,ENDOTHIAPEPSIN,refined,train
5dv4,2.47,CCR4-NOT TRANSCRIPTION COMPLEX SUBUNIT 6-LIKE,general,train
5jal,2.47,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE,general,train
6fhq,2.47,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2B,refined,train
1gyx,2.48,HYPOTHETICAL PROTEIN YDCE,refined,train
4u5n,2.48,IMPORTIN SUBUNIT ALPHA-1,refined,train
4ze6,2.48,ENDOTHIAPEPSIN,general,train
5mn1,2.48,TRYPSIN,refined,train
5mnb,2.48,TRYPSIN,general,train
5mnx,2.48,TRYPSIN,general,train
5mon,2.48,TRYPSIN,general,train
1o4q,2.49,TYROSINE-PROTEIN KINASE SRC,general,train
4efk,2.49,PANTOTHENATE SYNTHETASE,refined,train
4ej2,2.49,GLYCOGEN PHOSPHORYLASE,general,train
4kz7,2.49,BETA-LACTAMASE,refined,train
1ai4,2.5,PENICILLIN AMIDOHYDROLASE,refined,train
3g30,2.51,BETA-LACTAMASE CTX-M-9A,refined,train
4ctj,2.51,NON-STRUCTURAL PROTEIN 5,general,train
1rq2,2.52,CELL DIVISION PROTEIN FTSZ,general,train
1wdr,2.52,BETA-AMYLASE,general,train
3ad7,2.52,SUBUNIT ALPHA OF SAROCOSINE OXIDASE,general,train
3bf1,2.52,TYPE III PANTOTHENATE KINASE,general,train
3fq7,2.52,"GLUTAMATE-1-SEMIALDEHYDE 2,1-AMINOMUTASE",general,train
3gr2,2.52,BETA-LACTAMASE,refined,train
3mfv,2.52,ARGINASE-1,refined,train
3vdb,2.52,BETA-GALACTOSIDASE,refined,train
4e3f,2.52,CARBONIC ANHYDRASE 2,general,train
4g0q,2.52,PROTEIN ARGONAUTE 1,refined,train
4urz,2.52,GTPASE HRAS,refined,train
5f6d,2.52,SUMO-CONJUGATING ENZYME UBC9,general,train
5f6u,2.52,SUMO-CONJUGATING ENZYME UBC9,general,train
4hj2,2.53,GLUTATHIONE S-TRANSFERASE A1,refined,train
1iup,2.54,META-CLEAVAGE PRODUCT HYDROLASE,general,train
1il3,2.55,RICIN A CHAIN,general,train
1kf0,2.55,PHOSPHOGLYCERATE KINASE,general,train
3b3s,2.55,LEUCYL AMINOPEPTIDASE,refined,train
3ovn,2.55,HIV-1 INTEGRASE,refined,train
5eif,2.55,GENOME POLYPROTEIN,general,train
5n53,2.55,D-3-PHOSPHOGLYCERATE DEHYDROGENASE,general,train
5os0,2.55,AURORA KINASE A,general,train
1gwv,2.57,"N-ACETYLLACTOSAMINIDE ALPHA-1,3-GALACTOSYLTRANSFERASE",refined,train
2ria,2.57,PULMONARY SURFACTANT-ASSOCIATED PROTEIN D,general,train
2wq4,2.57,LECTIN,general,train
3kgp,2.57,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,refined,train
5v4q,2.57,GAMMA-GLUTAMYLTRANSPEPTIDASE 1 HEAVY CHAIN,general,train
2ay5,2.59,AROMATIC AMINO ACID AMINOTRANSFERASE,general,train
2jst,2.59,FOUR-ALPHA-HELIX BUNDLE,general,train
3gvb,2.59,BETA-LACTAMASE,refined,train
4o3a,2.59,GLUTAMATE RECEPTOR 2,general,train
4o3c,2.59,GLUTAMATE RECEPTOR 2,refined,train
4wef,2.59,HEMAGGLUTININ-NEURAMINIDASE GLYCOPROTEIN,general,train
5tpb,2.59,BOTULINUM NEUROTOXIN TYPE A,general,train
1o4p,2.6,TYROSINE-PROTEIN KINASE SRC,general,train
2c4v,2.6,3-DEHYDROQUINATE DEHYDRATASE,general,train
2r5a,2.6,POLYCOMB PROTEIN SCM,refined,train
3gwv,2.6,TRANSPORTER,general,train
3rxf,2.6,TRYPSIN,general,train
4up5,2.6,"PYGOPUS HOMOLOG 2, B-CELL CLL/LYMPHOMA 9-LIKE PROTEIN",refined,train
5g46,2.6,NUCLEAR RECEPTOR ROR-GAMMA,refined,train
1cze,2.62,ASPARTATE AMINOTRANSFERASE,general,train
1w1y,2.62,CHITINASE B,general,train
2kfh,2.62,EH DOMAIN-CONTAINING PROTEIN 1,general,train
3f37,2.62,FERRITIN LIGHT CHAIN,refined,train
3f38,2.62,FERRITIN LIGHT CHAIN,general,train
3fk1,2.62,3-PHOSPHOSHIKIMATE 1-CARBOXYVINYLTRANSFERASE,general,train
3rxl,2.62,TRYPSIN,general,train
4lnf,2.62,GLUTAMINE SYNTHETASE,general,train
4lno,2.62,GLUTAMINE SYNTHETASE,general,train
5foo,2.62,6-PHOSPHO-BETA-D GLYCOSIDASE,general,train
5lvd,2.62,THERMOLYSIN,refined,train
1ajn,2.63,PENICILLIN AMIDOHYDROLASE,refined,train
1g5f,2.64,"1,3,4,6-TETRACHLORO-1,4-CYCLOHEXADIENE HYDROLASE",general,train
1o4i,2.64,TYROSINE-PROTEIN KINASE SRC,general,train
3p1d,2.64,CREB-BINDING PROTEIN,general,train
4i8x,2.64,L-LACTATE DEHYDROGENASE A CHAIN,refined,train
4q7w,2.64,CARBONIC ANHYDRASE 2,refined,train
4q8y,2.64,CARBONIC ANHYDRASE 2,refined,train
4ufl,2.64,GALACTOCEREBROSIDASE,refined,train
6fhu,2.64,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2A,refined,train
5ey0,2.65,GTP-SENSING TRANSCRIPTIONAL PLEIOTROPIC REPRESSOR CODY,refined,train
1il5,2.66,RICIN A CHAIN,general,train
3a1e,2.66,PROBABLE COPPER-EXPORTING P-TYPE ATPASE A,refined,train
3rxb,2.66,TRYPSIN,general,train
4y2p,2.66,BIFUNCTIONAL EPOXIDE HYDROLASE 2,general,train
5eld,2.66,CHOLERA ENTEROTOXIN SUBUNIT B,general,train
3lvw,2.67,GLUTAMATE-CYSTEINE LIGASE,refined,train
1hgi,2.68,"HEMAGGLUTININ, CHAIN HA1",general,train
1o8b,2.68,RIBOSE-5-PHOSPHATE ISOMERASE,general,train
2q72,2.68,TRANSPORTER,general,train
3rxk,2.68,TRYPSIN,general,train
4b3c,2.68,DNA REPAIR AND RECOMBINATION PROTEIN RADA,refined,train
4b3d,2.68,DNA REPAIR AND RECOMBINATION PROTEIN RADA,refined,train
5aqj,2.68,HEAT SHOCK COGNATE 71 KDA PROTEIN,general,train
5aqp,2.68,HEAT SHOCK COGNATE 71 KDA PROTEIN,general,train
3elc,2.69,"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE",refined,train
4usw,2.69,ADENYLATE CYCLASE TYPE 10,general,train
5k5s,2.69,EXTRACELLULAR CALCIUM-SENSING RECEPTOR,general,train
1br5,2.7,RICIN,general,train
1gym,2.7,PHOSPHATIDYLINOSITOL-SPECIFIC PHOSPHOLIPASE C,general,train
1lt5,2.7,HEAT-LABILE ENTEROTOXIN B CHAIN,general,train
1tc1,2.7,HYPOXANTHINE PHOSPHORIBOSYLTRANSFERASE,general,train
1ylv,2.7,5-AMINOLAEVULINIC ACID DEHYDRATASE,general,train
2fzc,2.7,ASPARTATE CARBAMOYLTRANSFERASE,refined,train
2ha4,2.7,ACETYLCHOLINESTERASE,general,train
2krd,2.7,TROPONIN C,general,train
2ohk,2.7,BETA-SECRETASE 1,general,train
2ow6,2.7,ALPHA-MANNOSIDASE II,general,train
2uyn,2.7,PROTEIN TDCF,refined,train
3bra,2.7,BETA-SECRETASE 1,refined,train
3ftz,2.7,LEUKOTRIENE A-4 HYDROLASE,general,train
